0,1,2,3,4,5,6,7,8,9
"Second mission under NASA's Commercial Lunar Payload Services (CLPS) program and the first successful lunar landing by a private American company. The lander delivered five payloads with a combined mass of up to 100 kg (LRA, NDL, LN-1, SCALPSS, and ROLSES), along with a deployable imaging system, EagleCam, designed to capture descent and surface operations. The spacecraft transmitted data from the lunar surface for approximately two weeks.[50][51][52] The LC-39A pad's transporter erector was modified to fuel cryogenic liquid oxygen and liquid methane into the payload before liftoff.[53]",,,,,,,,,
300,"February 15, 202421:34[54]",F9 B5B1082‑2,"Vandenberg, SLC‑4E",Starlink: Group 7-14 (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (OCISLY)
"Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This mission marked the 300th Falcon 9 launch, the 200th consecutive successful landing of a booster, and the first time SpaceX launched three rockets within 24 hours. SpaceX removed the stiffener ring around the nozzle of Merlin Vacuum Engine on Starlink missions starting with this launch.[55]",,,,,,,,,
301,"February 20, 202420:11[56]",F9 B5B1067‑17,"Cape Canaveral, SLC‑40",Telkomsat HTS 113BT,"4,000 kg (8,800 lb)",GTO,Telkom Indonesia,Success,Success (JRTI)
Indonesian satellite to provide more capacity over Indonesia.[57] 300th successful Falcon 9 mission.,,,,,,,,,
302,"February 23, 202404:11[58]",F9 B5B1061‑19,"Vandenberg, SLC‑4E",Starlink: Group 7-15 (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (OCISLY)
"Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This mission marked the second time a booster was flown for the 19th time and featured a Merlin engine that was being used on its 22nd mission beating its own record, having already surpassed Space Shuttle Main Engine no. 2019's record of 19 flights.[59]",,,,,,,,,
303,"February 25, 202422:06[60]",F9 B5B1069‑13,"Cape Canaveral, SLC‑40",Starlink: Group 6-39 (24 satellites),"~17,500 kg (38,600 lb)",LEO,SpaceX,Success,Success (ASOG)
"Launch of 24 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. New mass record on Falcon 9 taking 17,500 kg (38,600 lb) to low Earth orbit.[61]",,,,,,,,,
304,"February 29, 202415:30[62]",F9 B5B1076‑11,"Cape Canaveral, SLC‑40",Starlink: Group 6-40 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (JRTI)
