0,1,2,3,4,5,6,7,8,9
354,"July 12, 202402:35[133]",F9 B5B1063‑19,"Vandenberg, SLC‑4E",Starlink: Group 9-3 (20 satellites),"~16,300 kg (35,900 lb)",LEO,SpaceX,Failure,Success (OCISLY)
"Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, that failed to reach the target orbit. The mission experienced a failure of its second stage. While the initial burn proceeded as planned, a subsequent liquid oxygen leak led to engine disintegration during a planned second burn.[134][135] All starlink satellites were deployed, but without the additional burn, all Starlink satellites were lost due to atmospheric drag.[136] The incident marked the first Falcon 9 Block 5 failure since its introduction, ending a streak of 325 consecutive successful Falcon 9 launches following the pre-flight anomaly of AMOS-6.[137][138] The FAA initiated a SpaceX-performed mishap investigation, halting Falcon 9 launches until concluding that no public safety risks were present.[139] The rocket was cleared to resume flight on July 25, 2024, though the overall investigation remained open.[140]",,,,,,,,,
355,"July 27, 202405:45[141]",F9 B5B1069‑17,"Kennedy, LC‑39A",Starlink: Group 10-9 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (JRTI)
Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. Return-to-flight mission.,,,,,,,,,
356,"July 28, 202405:09[142]",F9 B5B1077‑14,"Cape Canaveral, SLC‑40",Starlink: Group 10-4 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. 300th Falcon first-stage reflight.,,,,,,,,,
357,"July 28, 202409:22[142]",F9 B5B1071‑17,"Vandenberg, SLC‑4E",Starlink: Group 9-4 (21 satellites),"~16,500 kg (36,400 lb)",LEO,SpaceX,Success,Success (OCISLY)
"Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.",,,,,,,,,
358,"August 2, 202405:01[143]",F9 B5B1078‑12,"Kennedy, LC‑39A",Starlink: Group 10-6 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,,,,,,,,,
359,"August 4, 202407:24[144]",F9 B5B1082‑6,"Vandenberg, SLC‑4E",Starlink: Group 11-1 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (OCISLY)
Launch of 23 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,,,,,,,,,
360,"August 4, 202415:02[145]",F9 B5B1080‑10,"Cape Canaveral, SLC‑40","CRS NG-21 (S.S. Francis R. ""Dick"" Scobee)","3,857 kg (8,503 lb)",LEO (ISS),Northrop Grumman (CRS),Success,Success (LZ‑1)
"Second of four launches Northrop Grumman acquired from SpaceX while a replacement rocket stage is developed for its Antares rocket. Unmanned Enhanced Cygnus cargo spacecraft named in honor of Francis R. ""Dick"" Scobee. Eleventh flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.",,,,,,,,,
361,"August 10, 202412:50[146]",F9 B5B1067‑21,"Cape Canaveral, SLC‑40",Starlink: Group 8-3 (21 satellites),"~16,500 kg (36,400 lb)",LEO,SpaceX,Success,Success (JRTI)
"Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.",,,,,,,,,
362,"August 12, 202402:02[147]",F9 B5B1061‑22,"Vandenberg, SLC‑4E",ASBM 1 (GX 10A) & ASBM 2 (GX 10B),"~7,230 kg (15,940 lb)[148]",Molniya,Space Norway,Success,Success (OCISLY)
"Space Norway launched two satellites built by Inmarsat for the Arctic Satellite Broadband Mission (ASBM) system into highly elliptical Molniya transfer orbits[149] (apogee: 43,509 km (27,035 mi), perigee: 8,089 km (5,026 mi), 63.4° inclination) to provide communication coverage to high latitudes not served by geosynchronous satellites.[150][151][152] Second booster to fly for the 22nd time.",,,,,,,,,
363,"August 12, 202410:37[153]",F9 B5B1073‑17,"Kennedy, LC‑39A",Starlink: Group 10-7 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,,,,,,,,,
364,"August 15, 202413:00[154]",F9 B5B1076‑16,"Cape Canaveral, SLC‑40",WorldView Legion 3 & 4,"1,500 kg (3,300 lb)",LEO,Maxar Technologies,Success,Success (LZ‑1)
Maxar Technologies built satellites.[99][155],,,,,,,,,
365,"August 16, 202418:56[156]",F9 B5B1075‑12,"Vandenberg, SLC-4E",Transporter-11 (116 payload smallsat rideshare),Unknown[l],SSO,Various,Success,Success (LZ‑4)
Dedicated SmallSat Rideshare mission to sun-synchronous orbit.[67] Fifth time a second stage featured Falcon medium coast mission-extension kit.,,,,,,,,,
366,"August 20, 202413:20[157]",F9 B5B1085‑1,"Cape Canaveral, SLC‑40",Starlink: Group 10-5 (23 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (ASOG)
Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,,,,,,,,,
367,"August 28, 202407:48[158]",F9 B5B1062‑23,"Cape Canaveral, SLC‑40",Starlink: Group 8-6 (21 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Failure (ASOG)
"Launch of 21 Starlink v2 mini-satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. The booster was making its 23rd flight, a new record. The booster caught fire during the touchdown, immediately tipped over, and was destroyed. This marked the first landing failure in over three years, ending a streak of 267 successful landings and the first failure on the A Shortfall of Gravitas platform.[159] The FAA required SpaceX to investigate the landing failure.[160][161] On Aug 30, the FAA approved the request for SpaceX to return Falcon 9 to launch.[162]",,,,,,,,,
368,"August 31, 202407:43[163]",F9 B5B1069‑18,"Cape Canaveral, SLC‑40",Starlink: Group 8-10 (21 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (JRTI)
"Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.",,,,,,,,,
369,"August 31, 202408:48[164]",F9 B5B1081‑9,"Vandenberg, SLC-4E",Starlink: Group 9-5 (21 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (OCISLY)
"Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. New record for the time between missions from different pads, launching 1 hour and 5 minutes after the prior flight.",,,,,,,,,
370,"September 5, 202415:33[165]",F9 B5B1077‑15,"Cape Canaveral, SLC‑40",Starlink: Group 8-11 (21 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (JRTI)
"Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.",,,,,,,,,
371,"September 6, 202403:20[166]",F9 B5B1063‑20,"Vandenberg, SLC‑4E",NROL-113 (21 Starshield satellites),Unknown,LEO,NRO,Success,Success (OCISLY)
Launch of 21 Starshield satellites to 70° inclination orbit. Third launch of SpaceX/Northrop Grumman-built Starshield satellites for the National Reconnaissance Office. Launch marked the 100th successful landing on the Of Course I Still Love You droneship.,,,,,,,,,
372,"September 10, 202409:23[167]",F9 B5B1083‑4,"Kennedy, LC‑39A",Polaris Dawn (Crew Dragon C207-3 Resilience),"~13,000 kg (29,000 lb)",LEO,Polaris Program,Success,Success (JRTI)
"First of two Crew Dragon missions for the Polaris Program. The rocket launched Crew Dragon with Jared Isaacman, Scott Poteet, Sarah Gillis and Anna Menon into an elliptic orbit, reaching an altitude of 1,400 kilometers (870 mi); the farthest anyone has been from Earth since NASA's Apollo program. During the five-day mission, Isaacman and Gillis performed the first commercial spacewalk.[168] The mission was also the first test of Dragon's laser interlink communication via Starlink.[169] Resilience has been modified extensively for this mission.[170]",,,,,,,,,
373,"September 12, 202408:52[171]",F9 B5B1078‑13,"Cape Canaveral, SLC‑40",BlueBird Block 1 (5 satellites)[172],"7,500 kg (16,500 lb)",LEO,AST SpaceMobile,Success,Success (LZ‑1)
"Cellphone-compatible broadband constellation. Each satellite is a similar size and weight to its 1,500-kilogram (3,300 lb) BlueWalker 3 prototype and have a 64-square-meter (690 sq ft) phased array antenna.",,,,,,,,,
374,"September 13, 202401:45[173]",F9 B5B1071‑18,"Vandenberg, SLC-4E",Starlink: Group 9-6 (21 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (OCISLY)
"Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.",,,,,,,,,
375,"September 17, 202422:50[174]",F9 B5B1067‑22,"Cape Canaveral, SLC‑40",Galileo-L13 (FOC FM26 & FM32),"1,600 kg (3,500 lb)",MEO,ESA,Success,Success (JRTI)
"Second and last launch of Galileo navigation satellites on Falcon 9. Originally planned to launch on Soyuz, but canceled after the Russian invasion of Ukraine. Launch was shifted to the new Ariane 6 rocket, but the program was delayed.[175] On the previous Galileo launch, the booster was expended due to a lack of fuel for a landing. However, that launch provided data that allowed SpaceX to make design and operational changes to recover the booster on this launch. The company said this landing attempt would test the bounds of recovery.[174]",,,,,,,,,
376,"September 20, 202413:50[176]",F9 B5B1075‑13,"Vandenberg, SLC-4E",Starlink: Group 9-17 (20 satellites),"~16,300 kg (35,900 lb)",LEO,SpaceX,Success,Success (OCISLY)
"Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.",,,,,,,,,
377,"September 25, 202404:01[177]",F9 B5B1081‑10,"Vandenberg, SLC-4E",Starlink: Group 9-8 (20 satellites),"~16,300 kg (35,900 lb)",LEO,SpaceX,Success,Success (OCISLY)
"Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.",,,,,,,,,
378,"September 28, 202417:17[178]",F9 B5 B1085‑2,"Cape Canaveral, SLC‑40",Crew-9 (Crew Dragon C212-4 Freedom),"~13,000 kg (29,000 lb)",LEO (ISS),NASA (CTS)[179],Success,Success (LZ‑1)
"Long-duration mission to the International Space Station (ISS). First crewed mission to launch from SLC-40.[180] The launch carried two members of the Expedition 72 crew, Nick Hague and Aleksandr Gorbunov, along with a small amount of cargo to the ISS.[179] Due to technical issues with the Boeing Starliner Calypso the crew complement of the launch was reduced down to two and Barry E. Wilmore and Sunita Williams, the crew of the Boeing Crew Flight Test, joined the Crew-9 and Expedition 72 crew complement.[181] The second stage experienced an off-nominal deorbit burn that ran for an extra 500 milliseconds, and while it landed safely in the ocean, it landed short of the targeted area.[182] SpaceX said they would temporarily halt launches while time was spent understanding the root cause. Several days later the FAA said they would require an investigation into the failure before issuing a return to flight for the Falcon 9. It marked the third time in a span of three months that the Falcon 9 suffered an anomaly temporarily stopping launches.[183][184] On October 11, the FAA approved the Falcon 9 to return to flight for low-Earth orbit missions, after granting approval for the Hera launch due to its heliocentric orbit.[185]",,,,,,,,,
379,"October 7, 202414:52[186]",F9 B5B1061‑23,"Cape Canaveral, SLC‑40",Hera,"1,108 kg (2,443 lb)",Heliocentric,ESA,Success,No attempt
"Hera is a European Space Agency mission under its Space Safety program. Its primary goal is to study the aftermath of NASA's DART mission, which intentionally collided with the Didymos binary asteroid system. By analyzing the crater formed and the momentum transferred during the impact, Hera will help validate the kinetic impact method as a potential strategy for deflecting a near-Earth asteroid on a collision course with Earth. The mission will provide data on the efficiency of this technique. It also carries two nano-satellite CubeSats, called Milani and Juventas. This was the second booster to complete its 23rd flight. Although the Falcon 9 remained unable to launch following the Crew-9 mishap, the FAA granted an exemption for the Hera launch, as it did not involve a second-stage reentry.[187] First stage was expended because all of its performance were needed to go to the heliocentric orbit.",,,,,,,,,
FH 11,"October 14, 202416:06[188]",Falcon Heavy B5 B1089 (core),"Kennedy, LC‑39A",Europa Clipper,"6,065 kg (13,371 lb)",Heliocentric,NASA,Success,No attempt
B1064‑6 (side),No attempt,,,,,,,,
B1065‑6 (side),No attempt,,,,,,,,
"Europa Clipper will conduct a detailed survey of Europa and use a sophisticated suite of science instruments to investigate whether the icy moon has conditions suitable for life. Key mission objectives are to produce high-resolution images of Europa's surface, determine its composition, look for signs of recent or ongoing geological activity, measure the thickness of the moon's icy shell, search for subsurface lakes, and determine the depth and salinity of Europa's ocean.[189][190] The spacecraft will fly past Mars and Earth before arriving at Jupiter in April 2030.[191][192] At 45,648 km/h (28,364 mph) the launch had the highest-speed payload injection ever achieved by SpaceX, however to reach that speed, the core and side boosters were expended without grid fins and landing legs.[193][194]",,,,,,,,,
380,"October 15, 202406:10[195]",F9 B5B1080‑11,"Cape Canaveral, SLC‑40",Starlink: Group 10-10 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
"Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. This was the 100th SpaceX launch this year, a first by any launch agency in a particular calendar year.",,,,,,,,,
381,"October 15, 202408:21[196]",F9 B5B1071‑19,"Vandenberg, SLC-4E",Starlink: Group 9-7 (20 satellites),"~16,300 kg (35,900 lb)",LEO,SpaceX,Success,Success (OCISLY)
"Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.",,,,,,,,,
382,"October 18, 202423:31[197]",F9 B5B1076‑17,"Cape Canaveral, SLC‑40",Starlink: Group 8-19 (20 satellites),"~16,300 kg (35,900 lb)",LEO,SpaceX,Success,Success (JRTI)
"Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. With this launch, SpaceX's Falcon family surpassed the yearly world record for most launches attempted, previously set by themselves last year.",,,,,,,,,
383,"October 20, 202405:13[198]",F9 B5B1082‑7,"Vandenberg, SLC-4E",OneWeb #20 (20 satellites),"2,954 kg (6,512 lb)",Polar LEO,OneWeb,Success,Success (LZ‑4)
"Launch of 20 OneWeb satellites to expand internet constellation. 12th flight with short nozzle second stage. This was the 100th Falcon launch this year, the first by any rocket family in a particular calendar year. Moreover, with this launch, SpaceX's Falcon family surpassed the yearly world record for most successful launches, previously set by themselves last year.",,,,,,,,,
384,"October 23, 202421:47[199]",F9 B5B1073‑18,"Cape Canaveral, SLC‑40",Starlink: Group 6-61 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
Launch of 23 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. This was the 100th Falcon launch attempt this year.,,,,,,,,,
385,"October 24, 202417:13[200]",F9 B5B1063‑21,"Vandenberg, SLC-4E",NROL-167 (~17 Starshield satellites),Unknown,LEO,NRO,Success,Success (OCISLY)
"Fourth launch of SpaceX/Northrop Grumman-built Starshield satellites for the National Reconnaissance Office. This was the 100th successful Falcon 9 launch this year, a record.",,,,,,,,,
386,"October 26, 202421:47[201]",F9 B5B1069‑19,"Cape Canaveral, SLC‑40",Starlink: Group 10-8 (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (JRTI)
"Launch of 22 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. 100th successful Falcon 9 booster landing in 2024, a record.",,,,,,,,,
387,"October 30, 202412:07[202]",F9 B5B1075‑14,"Vandenberg, SLC-4E",Starlink: Group 9-9 (20 satellites),"~16,300 kg (35,900 lb)",LEO,SpaceX,Success,Success (OCISLY)
"Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. 200th launch of dedicated starlink missions.",,,,,,,,,
388,"October 30, 202421:10[203]",F9 B5B1078‑14,"Cape Canaveral, SLC‑40",Starlink: Group 10-13 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation.,,,,,,,,,
389,"November 5, 202402:29[204]",F9 B5B1083‑5,"Kennedy, LC‑39A",SpaceX CRS-31 (Cargo Dragon C208-5),"2,762 kg (6,089 lb)",LEO (ISS),NASA (CRS),Success,Success (LZ‑1)
"Carried 2,762 kg (6,089 lb) of cargo and supplies to the International Space Station (ISS).[205] CRS-31 is the first Dragon scheduled to perform a test ""reboost"" of the ISS on November 8, 2024, burning its aft-facing Draco thrusters for 12.5 minutes to counteract atmospheric drag on the station.[206]",,,,,,,,,
390,"November 7, 202420:19[207]",F9 B5B1085‑3,"Cape Canaveral, SLC‑40",Starlink: Group 6-77 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (JRTI)
Launch of 23 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.,,,,,,,,,
391,"November 9, 202406:14[208]",F9 B5B1081‑11,"Vandenberg, SLC-4E",Starlink: Group 9-10 (20 satellites),"~16,300 kg (35,900 lb)",LEO,SpaceX,Success,Success (OCISLY)
"Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.",,,,,,,,,
392,11 November 202417:22[209],F9 B5B1067‑23,"Kennedy, LC‑39A",Koreasat 6A,"3,500 kg (7,700 lb)",GTO,KT Sat,Success,Success (LZ‑1)
"South Korean communications satellite built on the Spacebus-4000B2 platform. To be positioned at 116° east.[210][211] First booster to successfully complete 23 launches and landings, surpassing booster B1062, which experienced a landing failure on its 23rd flight. Koreasat 6A weigh about 3.5 metric tons.[212]",,,,,,,,,
393,"November 11, 202421:28[213]",F9 B5B1080‑12,"Cape Canaveral, SLC‑40",Starlink: Group 6-69 (24 satellites),"~17,500 kg (38,600 lb)",LEO,SpaceX,Success,Success (ASOG)
"Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. Second Starlink v2 mini mission to launch 24 satellites, the first was Group 6-39, launched on flight F9-303 in February 2024.",,,,,,,,,
394,"November 14, 202405:23[214]",F9 B5B1082‑8,"Vandenberg, SLC-4E",Starlink: Group 9-11 (20 satellites),"~16,300 kg (35,900 lb)",LEO,SpaceX,Success,Success (OCISLY)
"Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.",,,,,,,,,
395,"November 14, 202413:21[215]",F9 B5B1076‑18,"Cape Canaveral, SLC‑40",Starlink: Group 6-68 (24 satellites),"~17,500 kg (38,600 lb)",LEO,SpaceX,Success,Success (JRTI)
Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. First time SpaceX has completed 17 Falcon launches in 31 days.,,,,,,,,,
396,"November 17, 202422:28[216]",F9 B5B1077‑16,"Kennedy, LC‑39A",Optus-X/TD7,"~4,000 kg (8,800 lb)[217]",GTO,Optus,Success,Success (ASOG)
Northrop Grumman-built geostationary military communications satellite for Australian satellite operator Optus.,,,,,,,,,
397,"November 18, 202405:53[218]",F9 B5B1071‑20,"Vandenberg, SLC-4E",Starlink: Group 9-12 (20 satellites),"~16,300 kg (35,900 lb)",LEO,SpaceX,Success,Success (OCISLY)
"Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.",,,,,,,,,
398,"November 18, 202418:31[219]",F9 B5B1073‑19,"Cape Canaveral, SLC‑40",GSAT-20 (GSAT-N2),"4,700 kg (10,400 lb)",GTO,New Space India LimitedDish TV,Success,Success (JRTI)
Indian telecommunications satellite for Dish TV.[220],,,,,,,,,
399,"November 21, 202416:07[221]",F9 B5B1069‑20,"Cape Canaveral, SLC‑40",Starlink: Group 6-66 (24 satellites),"~17,500 kg (38,600 lb)",LEO,SpaceX,Success,Success (ASOG)
"Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. One of the fairing halves flew for a record 21st time. SLC-40 broke its own record for most launches from a single launch pad with 56 launches in this year, up from 55 launches last year.",,,,,,,,,
400,"November 24, 202405:25[222]",F9 B5B1075‑15,"Vandenberg, SLC-4E",Starlink: Group 9-13 (20 satellites),"~16,300 kg (35,900 lb)",LEO,SpaceX,Success,Success (OCISLY)
"Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. 400th launch of Falcon 9 launch vehicle and 100th launch from SLC-4E.",,,,,,,,,
401,"November 25, 202410:02[223]",F9 B5B1080‑13,"Cape Canaveral, SLC‑40",Starlink: Group 12-1 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (JRTI)
"Launch of 23 Starlink v2 mini satellites, including 12 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. New first stage turnaround record of 13 days, 12 hours, and 44 minutes from this booster's previous launch (Flight 393) on November 11, the previous record was 21 days.[224]",,,,,,,,,
402,"November 27, 202404:41[225]",F9 B5B1078‑15,"Kennedy, LC‑39A",Starlink: Group 6-76 (24 satellites),"~17,500 kg (38,600 lb)",LEO,SpaceX,Success,Success (ASOG)
Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. 400th successful mission and Falcon's 375th overall successful landing.,,,,,,,,,
403,"November 30, 202405:00[226]",F9 B5B1083‑6,"Cape Canaveral, SLC‑40",Starlink: Group 6-65 (24 satellites),"~17,500 kg (38,600 lb)",LEO,SpaceX,Success,Success (JRTI)
Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. First time SpaceX has completed 15 Falcon launches in a calendar month.,,,,,,,,,
404,"November 30, 202408:10[227]",F9 B5B1088‑1,"Vandenberg, SLC-4E",NROL-126 (2 Starshield satellites) + Starlink: Group N-01[228] (20 satellites),"~16,100 kg (35,500 lb)(Starlink)",LEO,NRO/SpaceX,Success,Success (OCISLY)
"Fifth launch of SpaceX/Northrop Grumman-built Starshield satellites for the National Reconnaissance Office, with 20 Starlink v2 mini satellites as rideshare. First time SpaceX has completed 16 Falcon and 17 SpaceX (including Starship IFT-6) launches in a calendar month.",,,,,,,,,
405,"December 4, 202410:13[229]",F9 B5B1067‑24,"Cape Canaveral, SLC‑40",Starlink: Group 6-70 (24 satellites),"~17,500 kg (38,600 lb)",LEO,SpaceX,Success,Success (ASOG)
"Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly 24th time, new record.",,,,,,,,,
406,"December 5, 202403:05[230]",F9 B5B1081‑12,"Vandenberg, SLC-4E",Starlink: Group 9-14 (20 satellites),"~16,300 kg (35,900 lb)",LEO,SpaceX,Success,Success (OCISLY)
"Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.",,,,,,,,,
407,"December 5, 202416:10[231]",F9 B5B1076‑19,"Kennedy, LC‑39A",SXM-9,"7,000 kg (15,000 lb)",GTO,Sirius XM,Success,Success (JRTI)
"SXM-9 is a high-powered digital audio radio satellite for SiriusXM. Manufactured by Maxar Technologies on their 1300-class platform, the SXM-9 features a reflector that can unfurl to span nearly 10 meters (33 ft) to transmit.[232] SpaceX stated that this was the 100th booster landing on JRTI.[233] B1076 became the first booster to fly ten times in one calendar year on December 5, 2024.",,,,,,,,,
408,"December 8, 202405:12[234]",F9 B5B1086‑2,"Cape Canaveral, SLC‑40",Starlink: Group 12-5 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
"Launch of 23 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. Booster 1086, used on this mission, was previously used as a Falcon Heavy side booster on the GOES-U mission. This marks the second time (after B1052) SpaceX has converted a Falcon Heavy side booster into a traditional Falcon 9.",,,,,,,,,
409,"December 13, 202421:55[235]",F9 B5B1082‑9,"Vandenberg, SLC-4E",Starlink: Group 11-2 (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (OCISLY)
"Launch of 22 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. 100th landing on droneship in 2024, a record.",,,,,,,,,
410,"December 17, 202400:52[236]",F9 B5B1085‑4,"Cape Canaveral, SLC‑40",GPS III-7 (RRT-1)[237][238],"~4,350 kg (9,590 lb)",MEO,USSF,Success,Success (ASOG)
"Launch is part of Phase 2 US Air Force contract awarded in 2022. GPS III-7, originally scheduled to launch on a ULA Vulcan rocket, was reassigned to the Falcon 9, as a part of Rapid Response Trailblazer-1 (RRT-1) mission, following uncertainties in Vulcan's readiness. As a result, GPS III-10, originally planned to launch on the Falcon 9, will now launch on Vulcan. Sixth time a second stage featured Falcon medium coast mission-extension kit.",,,,,,,,,
411,"December 17, 202413:19[239]",F9 B5B1063‑22,"Vandenberg, SLC‑4E",NROL-149 (22 Starshield satellites)[240],Unknown,LEO,NRO,Success,Success (OCISLY)
Sixth launch of SpaceX/Northrop Grumman-built Starshield satellites for the National Reconnaissance Office.,,,,,,,,,
412,"December 17, 202422:26[241]",F9 B5B1090‑1,"Kennedy, LC‑39A",O3b mPOWER 7 & 8,"3,400 kg (7,500 lb)",MEO,SES,Success,Success (JRTI)
"In August 2020, SES expanded the O3b mPOWER contract with two additional launches, raising the number of satellites from 7 to 11 satellites at nearly 2 tons each.[242] One of the fairings halves made its 22nd flight.",,,,,,,,,
413,"December 21, 202411:34[243]",F9 B5B1071‑21,"Vandenberg, SLC-4E",Bandwagon-2 (30 payload smallsat rideshare)[67][87]425 Project Flight 3,"800 kg (1,800 lb)(main satellite) + unknown additional",LEO,VariousRepublic of Korea Armed Forces,Success,Success (LZ‑4)
Dedicated SmallSat Rideshare mission to 45 degree inclination 550–600 km altitude. 425 Project Flight 3 is a military SAR satellite of South Korea with a mass of ~800 kg.[244],,,,,,,,,
414,"December 23, 202405:35[245]",F9 B5B1080‑14,"Kennedy, LC‑39A",Starlink: Group 12-2 (21 satellites),"~16,500 kg (36,400 lb)",LEO,SpaceX,Success,Success (JRTI)
"Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.",,,,,,,,,
415,"December 29, 202401:58[246]",F9 B5B1075‑16,"Vandenberg, SLC-4E",Starlink: Group 11-3 (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (OCISLY)
Launch of 22 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,,,,,,,,,
416,"December 29, 202405:00[247]",F9 B5B1083‑7,"Cape Canaveral, SLC‑40",Astranis: From One to Many (4 satellites),"1,600 kg (3,500 lb)",GTO,Astranis,Success,Success (ASOG)
